-0.03,0.001,0.01
-0.029,0.01,0.01
-0.028,0.02,0.01
-0.027,0.04,0.01
-0.026,0.05,0.01
-0.025,0.06,0.01
-0.024,0.08,0.01
-0.023,0.1,0.01
-0.022,0.12,0.01
-0.021,0.16,0.01
-0.02,0.18,0.01
-0.019,0.2,0.01
-0.018,0.21,0.01
-0.017,0.22,0.01
-0.016,0.22,0.01
-0.015,0.22,0.01
-0.014,0.22,0.01
-0.013,0.22,0.01
-0.012,0.22,0.01
-0.011,0.23,0.01
-0.01,0.22,0.01
-0.009,0.22,0.01
-0.008,0.22,0.01
-0.007,0.22,0.01
-0.006,0.22,0.01
-0.005,0.22,0.01
-0.004,0.22,0.01
-0.003,0.21,0.01
-0.002,0.21,0.01
-0.001,0.21,0.01
0,0.21,0.01
0.001,0.2,0.01
0.002,0.2,0.01
0.003,0.2,0.01
0.004,0.2,0.01
0.005,0.2,0.01
0.006,0.2,0.01
0.007,0.2,0.01
0.008,0.2,0.01
0.009,0.2,0.01
0.01,0.19,0.01
0.011,0.19,0.01
0.012,0.19,0.01
0.013,0.19,0.01
0.014,0.19,0.01
0.015,0.18,0.01
0.016,0.18,0.01
0.017,0.17,0.01
0.018,0.17,0.01
0.019,0.16,0.01
0.02,0.17,0.01
0.021,0.14,0.01
0.022,0.13,0.01
0.023,0.11,0.01
0.024,0.1,0.01
0.025,0.08,0.01
0.026,0.06,0.01
0.027,0.05,0.01
0.028,0.04,0.01
0.029,0.03,0.01
0.03,0.02,0.01
